mold_code,variable,count_group,n,mean,std
8412,sleeve_temperature,"[24, 25, 26]",876,512.1073059360731,6.405703997622201
8412,molten_temp,"[44, 45, 46]",911,730.5148188803513,1.5340637496658092
8412,upper_mold_temp1,"[51, 52, 53]",887,212.80496054114994,28.24140649521571
8412,upper_mold_temp2,"[39, 40, 43]",940,158.01170212765956,6.235942339805948
8412,lower_mold_temp1,"[39, 40, 41]",955,129.0104712041885,10.638124908070274
8412,lower_mold_temp2,"[66, 67, 68]",846,198.66548463356975,21.35521864773719
8412,physical_strength,"[48, 49, 50]",946,718.1638477801268,11.75551670984432
8412,cast_pressure,"[19, 20, 21]",931,329.50268528464017,23.65579206363294
8412,low_section_speed,"[64, 65, 66]",853,109.57561547479484,6.137735662541528
8412,high_section_speed,"[66, 67, 68]",846,112.07683215130024,5.635055736026475
8412,biscuit_thickness,"[64, 65, 66]",853,55.808909730363425,21.83328456485023
8412,Coolant_temperature,"[61, 62, 63]",913,32.52354874041621,1.354712252609218
8573,sleeve_temperature,"[8, 9, 254, 255, 258, 259, 261]",2063,474.3189529810955,9.256610318940787
8573,molten_temp,"[1, 2, 246, 247, 250, 251, 252, 254, 255, 259]",2914,715.6973232669869,7.83351131090735
8573,upper_mold_temp1,"[8, 9, 10, 250, 251, 252, 254, 255]",2403,224.72326258843114,21.374237350689466
8573,upper_mold_temp2,"[8, 9, 10, 250, 251, 252, 254, 255]",2403,191.0561797752809,16.89132891142602
8573,lower_mold_temp1,"[5, 6, 7]",794,205.7418136020151,14.789403170487823
8573,lower_mold_temp2,"[5, 6, 7]",794,204.27959697733,14.754140183304198
8573,physical_strength,"[257, 258, 259, 260, 261]",1215,705.2617283950617,35.681189124057056
8573,cast_pressure,"[255, 256, 259, 260, 261]",1323,323.671201814059,33.90600575138482
8573,low_section_speed,"[2, 6, 8]",884,109.42986425339366,7.302759495169756
8573,high_section_speed,"[2, 3, 4, 6, 8]",1481,112.407157326131,8.118442640077715
8573,biscuit_thickness,"[243, 251]",569,53.63620386643234,1.7938147840543857
8573,Coolant_temperature,"[254, 255, 256]",905,32.05745856353591,1.3555083275256132
8600,sleeve_temperature,"[7, 8, 9]",899,497.622914349277,8.709693545298371
8600,molten_temp,"[7, 8, 9]",899,686.6596218020022,122.73821819303876
8600,upper_mold_temp1,"[2, 3]",613,208.8694942903752,29.15289757746457
8600,upper_mold_temp2,"[6, 7, 8]",899,169.46829810901002,14.923929100448717
8600,lower_mold_temp1,"[6, 7, 8]",899,251.82647385984427,25.59346663573441
8600,lower_mold_temp2,"[6, 7, 8]",899,206.14238042269187,20.376352491924617
8600,physical_strength,"[6, 7, 8]",899,690.2113459399333,3.455063788279919
8600,cast_pressure,"[7, 8, 9]",899,323.18909899888763,17.24020825898352
8600,low_section_speed,"[11, 12]",548,109.53832116788321,5.746980012185928
8600,high_section_speed,"[9, 10]",410,122.6,28.953313740021386
8600,biscuit_thickness,"[11, 12]",548,46.4507299270073,16.523301905635225
8600,Coolant_temperature,"[11, 12]",548,33.333941605839414,1.2883167072125405
8722,sleeve_temperature,"[14, 15, 16, 17]",1220,483.98032786885244,5.748740124403496
8722,molten_temp,"[27, 51, 52, 53]",1225,697.8138775510204,142.5788268505515
8722,upper_mold_temp1,"[4, 5, 6, 7]",1203,171.0407315045719,11.038542525853254
8722,upper_mold_temp2,"[5, 6, 7]",913,125.65169769989048,2.4747053405505617
8722,lower_mold_temp1,"[5, 6, 7]",913,294.62979189485213,19.025170010434707
8722,lower_mold_temp2,"[5, 6, 7]",913,181.02519167579408,15.92486541129393
8722,physical_strength,"[5, 6, 7]",913,703.6823658269442,23.499017478756418
8722,cast_pressure,"[54, 55, 56]",921,322.0868621064061,20.31081985777763
8722,low_section_speed,"[65, 67, 68]",851,104.15041128084606,9.004492170156691
8722,high_section_speed,"[58, 59, 67, 68]",1186,108.7310286677909,14.352970499088443
8722,biscuit_thickness,"[62, 63, 64]",914,52.21881838074398,30.177500383230964
8722,Coolant_temperature,"[64, 67, 68]",897,32.43366778149387,1.3238468841007958
8917,sleeve_temperature,"[607, 608, 609]",967,426.9038262668046,27.877320268356563
8917,molten_temp,"[607, 608, 609]",967,722.1913133402275,10.037177631973776
8917,upper_mold_temp1,"[617, 618, 619]",946,198.80338266384777,18.210800597083754
8917,upper_mold_temp2,"[602, 603, 604]",974,179.61088295687884,6.753441103815922
8917,lower_mold_temp1,"[598, 599, 600]",969,257.3157894736842,18.69396222247889
8917,lower_mold_temp2,"[605, 606, 607]",973,177.5097636176773,9.599337535314946
8917,physical_strength,"[618, 619, 620]",943,699.1293743372216,2.4980281673558924
8917,cast_pressure,"[619, 620, 621]",919,326.53971708378674,20.387271765217008
8917,low_section_speed,"[619, 620, 621]",919,107.80522306855278,14.811823830821364
8917,high_section_speed,"[619, 620, 621]",919,111.95103373231774,2.607763780860797
8917,biscuit_thickness,"[612, 613, 614]",915,48.982513661202184,21.787257638930654
8917,Coolant_temperature,"[608, 609, 611]",970,31.13917525773196,1.1494205208506307
